incident_id,risk_potential_score,urgency_score,attention_level,attention_confidence,systemic_attention_score,systemic_attention_level,human_review_required,out_of_distribution,prediction_mode,upstream_sif_score,immediate_action_count,short_term_action_count,long_term_action_count,action_stop_work,action_pause_and_reassess,action_verify_critical_controls,action_energy_isolation_verification,action_work_authorization_review,action_permit_review,action_supervisor_review,action_pre_task_plan_review,action_job_hazard_reassessment,action_barrier_restoration,action_engineering_control,action_procedure_review,action_procedure_update,action_training_review,action_competency_verification,action_supervision_improvement,action_communication_review,action_work_planning_review,action_schedule_pressure_review,action_safety_culture_review,action_management_system_review,action_lessons_learned,action_targeted_monitoring,action_no_immediate_action,action_human_review_required,severity_or_potential_consequence,hazard_energy_exposure,barrier_or_control_failure,critical_rule_violation,sif_precursor_signal,evidence_strength,extraction_confidence
INC-2026-001,0.4321,0.0,MONITOR,0.5,1.0,HIGH,1,0,RULE_BASED_COLD_START,0.4321,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0.92,0.6,0.0,0.0,0.4174,0.7391,0.7521
INC-2026-002,0.3117,0.0,MONITOR,0.5,1.0,HIGH,0,0,RULE_BASED_COLD_START,0.3117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.666,0.35,0.0,0.0,0.3185,0.5455,0.7
